v8-version,5,7,492,63,0
shared-library,"/System/Library/Frameworks/SecurityInterface.framework/Versions/A/SecurityInterface",0x7fffb2d32014,0x7fffb2d4fdbb,924229632
shared-library,"/usr/lib/libcups.2.dylib",0x7fffc09f32b0,0x7fffc0a356cb,924229632
shared-library,"/System/Library/Frameworks/ApplicationServices.framework/Versions/A/ApplicationServices",0x7fffaadeafb0,0x7fffaadeafb0,924229632
shared-library,"/System/Library/Frameworks/AppKit.framework/Versions/C/AppKit",0x7fffaa008ab4,0x7fffaaba203d,924229632
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fffac495bd0,0x7fffac683dcc,924229632
shared-library,"/System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork",0x7fffab686390,0x7fffab9b8630,924229632
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/CoreServices",0x7fffad359fc0,0x7fffad359fc0,924229632
shared-library,"/usr/lib/libresolv.9.dylib",0x7fffc15a19bc,0x7fffc15bb4cb,924229632
shared-library,"/System/Library/Frameworks/CoreGraphics.framework/Versions/A/CoreGraphics",0x7fffac9303e0,0x7fffacd94ed0,924229632
shared-library,"/System/Library/Frameworks/CoreText.framework/Versions/A/CoreText",0x7fffada887cc,0x7fffadba50b9,924229632
shared-library,"/System/Library/Frameworks/IOSurface.framework/Versions/A/IOSurface",0x7fffae50d420,0x7fffae511a84,924229632
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Carbon",0x7fffaba72fd0,0x7fffaba72fd0,924229632
shared-library,"/System/Library/Frameworks/CoreVideo.framework/Versions/A/CoreVideo",0x7fffadbd503c,0x7fffadbfb13b,924229632
shared-library,"/System/Library/Frameworks/Quartz.framework/Versions/A/Quartz",0x7fffb2238fd0,0x7fffb2238fd0,924229632
shared-library,"/System/Library/Frameworks/AVFoundation.framework/Versions/A/AVFoundation",0x7fffa8cfdcec,0x7fffa8e6713b,924229632
shared-library,"/System/Library/Frameworks/CoreMedia.framework/Versions/A/CoreMedia",0x7fffad25d018,0x7fffad2ff820,924229632
shared-library,"/System/Library/Frameworks/VideoToolbox.framework/Versions/A/VideoToolbox",0x7fffb3156f20,0x7fffb34c09e5,924229632
shared-library,"/System/Library/Frameworks/AudioToolbox.framework/Versions/A/AudioToolbox",0x7fffab30c5a0,0x7fffab4cd022,924229632
shared-library,"/System/Library/Frameworks/CoreAudio.framework/Versions/A/CoreAudio",0x7fffac067e40,0x7fffac0d7d56,924229632
shared-library,"/System/Library/Frameworks/IOBluetooth.framework/Versions/A/IOBluetooth",0x7fffae3d3b08,0x7fffae44e5f8,924229632
shared-library,"/System/Library/Frameworks/CoreMIDI.framework/Versions/A/CoreMIDI",0x111aac5f0,0x111adfe3b,4591366144
shared-library,"/usr/lib/libsandbox.1.dylib",0x7fffc15bf12c,0x7fffc15e22c0,924229632
shared-library,"/System/Library/Frameworks/GameController.framework/Versions/A/GameController",0x7fffae31455c,0x7fffae32675d,924229632
shared-library,"/System/Library/Frameworks/CoreWLAN.framework/Versions/A/CoreWLAN",0x7fffadc0b7b4,0x7fffadc65da7,924229632
shared-library,"/usr/lib/libbz2.1.0.dylib",0x7fffc05fbc30,0x7fffc0608f45,924229632
shared-library,"/System/Library/Frameworks/ImageIO.framework/Versions/A/ImageIO",0x7fffae5656e0,0x7fffae687dc5,924229632
shared-library,"/System/Library/Frameworks/CoreData.framework/Versions/A/CoreData",0x7fffac10db20,0x7fffac389031,924229632
shared-library,"/System/Library/PrivateFrameworks/RemoteViewServices.framework/Versions/A/RemoteViewServices",0x7fffbcfa535c,0x7fffbcfbb998,924229632
shared-library,"/System/Library/PrivateFrameworks/UIFoundation.framework/Versions/A/UIFoundation",0x7fffbefd2ea0,0x7fffbf126b0d,924229632
shared-library,"/System/Library/PrivateFrameworks/DFRFoundation.framework/Versions/A/DFRFoundation",0x7fffb846aa3c,0x7fffb8472779,924229632
shared-library,"/usr/lib/libenergytrace.dylib",0x7fffc0ac0e17,0x7fffc0ac0f8e,924229632
shared-library,"/System/Library/PrivateFrameworks/SkyLight.framework/Versions/A/SkyLight",0x7fffbdd64d10,0x7fffbdf821e4,924229632
shared-library,"/usr/lib/libScreenReader.dylib",0x7fffc04cc987,0x7fffc04cee30,924229632
shared-library,"/System/Library/PrivateFrameworks/DataDetectorsCore.framework/Versions/A/DataDetectorsCore",0x7fffb84aa594,0x7fffb850a5a3,924229632
shared-library,"/System/Library/PrivateFrameworks/DesktopServicesPriv.framework/Versions/A/DesktopServicesPriv",0x7fffb859eb20,0x7fffb8676571,924229632
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/HIToolbox.framework/Versions/A/HIToolbox",0x7fffaba78d60,0x7fffabd1fd7a,924229632
shared-library,"/usr/lib/libicucore.A.dylib",0x7fffc0bc9898,0x7fffc0d8341e,924229632
shared-library,"/usr/lib/libz.1.dylib",0x7fffc1975b90,0x7fffc1980c45,924229632
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/SpeechRecognition.framework/Versions/A/SpeechRecognition",0x7fffabe43740,0x7fffabe482fc,924229632
shared-library,"/usr/lib/libxml2.2.dylib",0x7fffc185c22c,0x7fffc192bd0d,924229632
shared-library,"/System/Library/PrivateFrameworks/CoreUI.framework/Versions/A/CoreUI",0x7fffb8146780,0x7fffb823be70,924229632
shared-library,"/usr/lib/liblangid.dylib",0x7fffc0df537a,0x7fffc0df5cba,924229632
shared-library,"/System/Library/PrivateFrameworks/MultitouchSupport.framework/Versions/A/MultitouchSupport",0x7fffbbf30824,0x7fffbbf4614e,924229632
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fffc0292013,0x7fffc0292a26,924229632
shared-library,"/System/Library/PrivateFrameworks/PerformanceAnalysis.framework/Versions/A/PerformanceAnalysis",0x7fffbc88d87c,0x7fffbc8c01ce,924229632
shared-library,"/System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/GenerationalStorage",0x7fffba3e53f8,0x7fffba3fb06e,924229632
shared-library,"/System/Library/Frameworks/CoreImage.framework/Versions/A/CoreImage",0x7fffacfb351c,0x7fffad149b47,924229632
shared-library,"/System/Library/PrivateFrameworks/Backup.framework/Versions/A/Backup",0x7fffb5d8bf90,0x7fffb5de6cfe,924229632
shared-library,"/usr/lib/libarchive.2.dylib",0x7fffc053e1e0,0x7fffc056352b,924229632
shared-library,"/usr/lib/libCRFSuite.dylib",0x7fffc01d88b0,0x7fffc01f0ec1,924229632
shared-library,"/usr/lib/system/libkxld.dylib",0x7fffc1a75f58,0x7fffc1a80ac8,924229632
shared-library,"/usr/lib/libcoretls.dylib",0x7fffc06b3fc0,0x7fffc06b3fc0,924229632
shared-library,"/usr/lib/libcoretls_cfhelpers.dylib",0x7fffc06b4f28,0x7fffc06b5bde,924229632
shared-library,"/usr/lib/libxar.1.dylib",0x7fffc184a734,0x7fffc185682b,924229632
shared-library,"/usr/lib/libsqlite3.dylib",0x7fffc160e580,0x7fffc1748e7a,924229632
shared-library,"/usr/lib/libpam.2.dylib",0x7fffc154f278,0x7fffc15520ce,924229632
shared-library,"/usr/lib/libOpenScriptingUtil.dylib",0x7fffc04cada6,0x7fffc04caf16,924229632
shared-library,"/usr/lib/liblzma.5.dylib",0x7fffc0df67f8,0x7fffc0e097e7,924229632
